Scenario Number,Top 8 3rd place teams,1A,1B,1D,1E,1G,1I,1K,1L
397,ABCEGIKL,3E,3G,3B,3A,3I,3C,3L,3K
398,ABCEGIJL,3E,3J,3B,3C,3A,3G,3L,3I
399,ABCEGIJK,3E,3J,3B,3C,3A,3G,3I,3K
400,ABCEGHKL,3E,3G,3B,3C,3A,3H,3L,3K
401,ABCEGHJL,3H,3J,3B,3C,3A,3G,3L,3E
402,ABCEGHJK,3H,3J,3B,3C,3A,3G,3E,3K
403,ABCEGHIL,3E,3G,3B,3C,3A,3H,3L,3I
404,ABCEGHIK,3E,3G,3B,3C,3A,3H,3I,3K
405,ABCEGHIJ,3H,3J,3B,3C,3A,3G,3E,3I
406,ABCEFJKL,3E,3J,3B,3C,3A,3F,3L,3K
407,ABCEFIKL,3E,3I,3B,3C,3A,3F,3L,3K
408,ABCEFIJL,3E,3J,3B,3C,3A,3F,3L,3I
409,ABCEFIJK,3E,3J,3B,3C,3A,3F,3I,3K
410,ABCEFHKL,3H,3E,3B,3C,3A,3F,3L,3K
411,ABCEFHJL,3H,3J,3B,3C,3A,3F,3L,3E
412,ABCEFHJK,3H,3J,3B,3C,3A,3F,3E,3K
413,ABCEFHIL,3H,3E,3B,3C,3A,3F,3L,3I
414,ABCEFHIK,3H,3E,3B,3C,3A,3F,3I,3K
415,ABCEFHIJ,3H,3J,3B,3C,3A,3F,3E,3I
416,ABCEFGKL,3E,3G,3B,3C,3A,3F,3L,3K
417,ABCEFGJL,3E,3G,3B,3C,3A,3F,3L,3J
418,ABCEFGJK,3E,3G,3B,3C,3A,3F,3J,3K
419,ABCEFGIL,3E,3G,3B,3C,3A,3F,3L,3I
420,ABCEFGIK,3E,3G,3B,3C,3A,3F,3I,3K
421,ABCEFGIJ,3E,3G,3B,3C,3A,3F,3I,3J
422,ABCEFGHL,3H,3G,3B,3C,3A,3F,3L,3E
423,ABCEFGHK,3H,3G,3B,3C,3A,3F,3E,3K
424,ABCEFGHJ,3H,3G,3B,3C,3A,3F,3E,3J
425,ABCEFGHI,3H,3G,3B,3C,3A,3F,3E,3I
426,ABCDIJKL,3I,3J,3B,3C,3A,3D,3L,3K
427,ABCDHJKL,3H,3J,3B,3C,3A,3D,3L,3K
428,ABCDHIKL,3H,3I,3B,3C,3A,3D,3L,3K
429,ABCDHIJL,3H,3J,3B,3C,3A,3D,3L,3I
430,ABCDHIJK,3H,3J,3B,3C,3A,3D,3I,3K
431,ABCDGJKL,3C,3J,3B,3D,3A,3G,3L,3K
432,ABCDGIKL,3I,3G,3B,3C,3A,3D,3L,3K
433,ABCDGIJL,3C,3J,3B,3D,3A,3G,3L,3I
434,ABCDGIJK,3C,3J,3B,3D,3A,3G,3I,3K
435,ABCDGHKL,3H,3G,3B,3C,3A,3D,3L,3K
436,ABCDGHJL,3H,3G,3B,3C,3A,3D,3L,3J
437,ABCDGHJK,3H,3G,3B,3C,3A,3D,3J,3K
438,ABCDGHIL,3H,3G,3B,3C,3A,3D,3L,3I
439,ABCDGHIK,3H,3G,3B,3C,3A,3D,3I,3K
440,ABCDGHIJ,3H,3G,3B,3C,3A,3D,3I,3J
441,ABCDFJKL,3C,3J,3B,3D,3A,3F,3L,3K
442,ABCDFIKL,3C,3I,3B,3D,3A,3F,3L,3K
443,ABCDFIJL,3C,3J,3B,3D,3A,3F,3L,3I
444,ABCDFIJK,3C,3J,3B,3D,3A,3F,3I,3K
445,ABCDFHKL,3H,3F,3B,3C,3A,3D,3L,3K
446,ABCDFHJL,3C,3J,3B,3D,3A,3F,3L,3H
447,ABCDFHJK,3H,3J,3B,3C,3A,3F,3D,3K
448,ABCDFHIL,3H,3F,3B,3C,3A,3D,3L,3I
449,ABCDFHIK,3H,3F,3B,3C,3A,3D,3I,3K
450,ABCDFHIJ,3H,3J,3B,3C,3A,3F,3D,3I
451,ABCDFGKL,3C,3G,3B,3D,3A,3F,3L,3K
452,ABCDFGJL,3C,3G,3B,3D,3A,3F,3L,3J
453,ABCDFGJK,3C,3G,3B,3D,3A,3F,3J,3K
454,ABCDFGIL,3C,3G,3B,3D,3A,3F,3L,3I
455,ABCDFGIK,3C,3G,3B,3D,3A,3F,3I,3K
456,ABCDFGIJ,3C,3G,3B,3D,3A,3F,3I,3J
457,ABCDFGHL,3C,3G,3B,3D,3A,3F,3L,3H
458,ABCDFGHK,3H,3G,3B,3C,3A,3F,3D,3K
459,ABCDFGHJ,3H,3G,3B,3C,3A,3F,3D,3J
460,ABCDFGHI,3H,3G,3B,3C,3A,3F,3D,3I
461,ABCDEJKL,3E,3J,3B,3C,3A,3D,3L,3K
462,ABCDEIKL,3E,3I,3B,3C,3A,3D,3L,3K
463,ABCDEIJL,3E,3J,3B,3C,3A,3D,3L,3I
464,ABCDEIJK,3E,3J,3B,3C,3A,3D,3I,3K
465,ABCDEHKL,3H,3E,3B,3C,3A,3D,3L,3K
466,ABCDEHJL,3H,3J,3B,3C,3A,3D,3L,3E
467,ABCDEHJK,3H,3J,3B,3C,3A,3D,3E,3K
468,ABCDEHIL,3H,3E,3B,3C,3A,3D,3L,3I
469,ABCDEHIK,3H,3E,3B,3C,3A,3D,3I,3K
470,ABCDEHIJ,3H,3J,3B,3C,3A,3D,3E,3I
471,ABCDEGKL,3E,3G,3B,3C,3A,3D,3L,3K
472,ABCDEGJL,3E,3G,3B,3C,3A,3D,3L,3J
473,ABCDEGJK,3E,3G,3B,3C,3A,3D,3J,3K
474,ABCDEGIL,3E,3G,3B,3C,3A,3D,3L,3I
475,ABCDEGIK,3E,3G,3B,3C,3A,3D,3I,3K
476,ABCDEGIJ,3E,3G,3B,3C,3A,3D,3I,3J
477,ABCDEGHL,3H,3G,3B,3C,3A,3D,3L,3E
478,ABCDEGHK,3H,3G,3B,3C,3A,3D,3E,3K
479,ABCDEGHJ,3H,3G,3B,3C,3A,3D,3E,3J
480,ABCDEGHI,3H,3G,3B,3C,3A,3D,3E,3I
481,ABCDEFKL,3C,3E,3B,3D,3A,3F,3L,3K
482,ABCDEFJL,3C,3J,3B,3D,3A,3F,3L,3E
483,ABCDEFJK,3C,3J,3B,3D,3A,3F,3E,3K
484,ABCDEFIL,3C,3E,3B,3D,3A,3F,3L,3I
485,ABCDEFIK,3C,3E,3B,3D,3A,3F,3I,3K
486,ABCDEFIJ,3C,3J,3B,3D,3A,3F,3E,3I
487,ABCDEFHL,3H,3F,3B,3C,3A,3D,3L,3E
488,ABCDEFHK,3H,3E,3B,3C,3A,3F,3D,3K
489,ABCDEFHJ,3H,3J,3B,3C,3A,3F,3D,3E
490,ABCDEFHI,3H,3E,3B,3C,3A,3F,3D,3I
491,ABCDEFGL,3C,3G,3B,3D,3A,3F,3L,3E
492,ABCDEFGK,3C,3G,3B,3D,3A,3F,3E,3K
493,ABCDEFGJ,3C,3G,3B,3D,3A,3F,3E,3J
494,ABCDEFGI,3C,3G,3B,3D,3A,3F,3E,3I
495,ABCDEFGH,3H,3G,3B,3C,3A,3F,3D,3E
